class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
beracun,cembung,halus,coklat,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,perkotaan
bisa dimakan,cembung,halus,kuning,memar,almond,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,lonceng,halus,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,perkotaan
bisa dimakan,cembung,halus,abu-abu,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,lonceng,halus,putih,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
bisa dimakan,lonceng,bersisik,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,merah muda,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,rumput
bisa dimakan,lonceng,halus,kuning,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,lonceng,halus,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,cembung,berserat,coklat,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,hitam,melimpah,rumput
bisa dimakan,cekung,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,perkotaan
bisa dimakan,datar,berserat,putih,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
beracun,cembung,halus,coklat,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,perkotaan
beracun,cembung,halus,coklat,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,perkotaan
bisa dimakan,lonceng,halus,kuning,memar,almond,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
beracun,cembung,bersisik,coklat,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,rumput
bisa dimakan,lonceng,bersisik,kuning,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,lonceng,bersisik,putih,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,lonceng,halus,putih,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
beracun,datar,halus,putih,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,cembung,bersisik,putih,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,datar,berserat,coklat,tidak,tidak ada,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,perkotaan
bisa dimakan,cembung,halus,kuning,memar,almond,bebas,padat,sempit,coklat,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,lonceng,halus,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
